transcript_id	miracidia	sporocyst_2d_invitro	sporocyst_1d_invivo	sporocyst_3d_invivo	sporocyst_shedder_invivo	cercariae	somule_3h	somule_24h	adult_m_21d	adult_f_21d	adult_m_28d	adult_f_28d	adult_m_38d	adult_f_38d
Smp_247160.2	5.16	9.49	19.4	3.02	15.36	11.28	16.66	8.66	7.85	9.42	7.84	7.67	9.92	10.2
Smp_247160.3	1.94	5.69	5.38	4.54	4.62	2.12	1.73	0.09	3.88	3.68	3.78	3.87	4.05	4.22
Smp_247170.1	4913.37	2014.12	374.96	457.49	458.22	320.29	615.3	146.07	336.58	383.86	392.06	436.92	235.04	465.5
Smp_247180.1	17.59	7.17	12.54	17.65	17.9	61.23	112.85	199.24	133.15	203.3	214.43	299.96	89.6	372.24
Smp_247190.1	11.82	14.14	32.62	9.04	15.49	16.96	7.01	11.52	25.71	20.24	22.29	23.44	18.11	22.12
Smp_247200.1	27.77	19.75	26.69	46.12	14.62	23.66	33.43	13.45	1.42	1.67	1.94	1.81	0	1.13
Smp_247200.2	0.04	0	0	0	0	0	0	0.25	0	0	0	0	0	0
Smp_247200.3	15.91	12.11	4.39	0	2.65	26.37	40.14	11.36	5.98	8.74	10.34	14.13	6.28	20.69
Smp_247210.1	0	0	0.46	0	0	0.05	0.13	0.02	0.01	0.05	0.16	0.34	0	0.59
Smp_247220.1	3.18	0.88	8.34	3.65	8.22	12.85	28.25	25.77	9.24	9.83	5.88	6.52	1.56	5.26
Smp_247230.1	9.68	16.86	19.58	16.14	22.48	31.17	112.08	137.34	41.37	39.16	40.43	40.87	17.28	33.89
Smp_247240.1	29.87	22.97	48.79	36.56	37.63	100.59	40.82	32.44	29.5	26.12	23.42	23.81	46.88	28.69
Smp_247250.1	10.35	9.14	20.16	19.53	29.33	17.68	20.21	27.44	24.74	22.74	24.14	21.35	28.84	24.77
Smp_247250.2	0.67	0.82	0	0	3.18	9.92	7.74	3.23	1.55	1.77	2.11	3.01	0.79	1.59
Smp_247250.3	0.3	0.44	0	0	0.56	0.3	1.85	2.92	0.65	0.92	0.6	0.89	0.14	0.06
Smp_247250.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_247260.1	0.52	0.11	0.73	0.63	1.23	2.38	5.82	5.29	2.28	1.86	0.92	0.95	0.17	0.52
Smp_247270.1	47.24	38.68	55.47	65.1	55.27	41.79	62.52	68.08	45.44	44.53	42.02	43.93	56.14	48.43
Smp_247280.1	11.73	10.19	5.72	9.51	6.73	53.1	85.83	46.88	13.13	12.93	14.08	12.41	8.06	9.98
Smp_247290.1	2.49	1.72	4.91	6.85	15.83	9.36	8.57	24.62	35.38	36.5	25.92	30.28	7.49	33.44
Smp_247300.1	11.82	33.17	0	2.68	0	2.94	0.7	1.47	0.71	0.5	0.84	0.59	0.44	0.13
Smp_247310.1	24.51	10.04	6.9	11.32	9.28	71.49	60.78	39.6	10.47	9.28	9.61	11.04	3.11	8.53
Smp_247320.1	431.69	474.37	92.32	96.67	189.14	172.51	211.9	55.77	64.75	68.18	50.56	53.55	89.15	58.53
Smp_247330.1	0.02	0.02	1.13	2.91	3.34	0.21	0.37	1.46	9.94	14.25	7.52	10.77	1.12	11.34
Smp_247350.1	0.48	0.13	0.59	0	0.31	0.44	1.1	1.99	0.07	0.06	0.03	0.05	0.02	0.06
Smp_247350.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_247360.1	0.09	0.04	1.74	1.32	2.2	1.65	0.85	4.42	15.84	20.08	20.78	28.39	5.1	25.39
Smp_247370.1	1.92	1.66	10.35	0	6.04	14.01	25.53	71.99	43.73	49.43	52.82	57.03	25.35	55.58
Smp_247370.2	0	0	3.15	12.37	8.26	0	1.2	7.05	1.75	0.73	0.92	0.81	0	2.04
Smp_247370.3	0.3	1.17	0	0	0	1.08	2.9	1.3	1.17	1.34	1.21	0.89	1.76	0.66
Smp_247380.1	5.27	8.3	7.67	10.52	7.99	3.99	2.3	2.81	5.38	3.9	4.19	3.48	2.72	2.47
Smp_247390.1	11.17	17.96	12.39	10.57	12.37	8.01	12.41	12.45	8.88	7.66	8.3	7.48	6.78	7.42
Smp_247390.2	11.17	17.96	12.39	10.57	12.37	8.01	12.41	12.45	8.88	7.66	8.3	7.48	6.78	7.42
Smp_247400.1	3.33	5.76	7.54	11.42	10.48	0.65	0.76	1.3	3.92	2.35	2.88	2.05	3.82	1.16
Smp_247410.1	3.39	3.97	28.21	18.17	0	33.45	32.02	3.45	0.01	2.44	0	10.05	5.9	10.87
Smp_247410.2	3.65	3.46	0	0	14.83	0	119.92	59.3	27.66	17.7	30.96	20.95	10.71	23.85
